"","CITY","TOT_CONF","TOT_RECOV","TOT_DEATH","LATITUDE","LONGITUDE","TOT_POP","RATE"
"306","Zhaotong",25,25,0,27.2018,103.4303,5430000,4.60405156537753e-06
"307","Xishuangbanna",15,14,1,22.0031,100.4749,116400,0.000128865979381443
"308","Yuxi",14,13,1,24.205,102.3138,2362000,5.92718035563082e-06
"309","Dali",13,13,0,25.6065,100.2676,652000,1.99386503067485e-05
"310","Qujing",13,12,0,25.2925,103.4746,6047000,2.1498263601786e-06
"311","Honghe",9,9,0,23.3623,103.3746,4501000,1.99955565429904e-06
"312","Baoshan",9,9,0,25.0643,99.0942,2614000,3.44299923488906e-06
"313","Lijiang",7,7,0,26.5117,100.1339,1280000,5.46875e-06
"314","Dehong",5,4,0,24.26,98.3505,1279000,3.90930414386239e-06
"315","Puer",4,4,0,22.493,100.5759,2605000,1.53550863723608e-06
"316","Chuxiong",4,4,0,25.25451,101.313571,510000,7.84313725490196e-06
"317","Wenshan",2,2,0,23.3863,104.2325,481505,4.15364326434824e-06
"318","Lincang",1,1,0,23.5303,100.052,2509000,3.98565165404544e-07
"319","Wenzhou",504,501,1,27.5935,120.4156,9117000,5.52813425468904e-05
"320","Hangzhou",181,179,0,30.16,120.12,10360000,1.74710424710425e-05
"321","Ningbo",157,157,0,29.5239,121.3249,8005000,1.96127420362274e-05
"322","Taizhou",146,146,0,28.392,121.2518,6049000,2.41362208629526e-05
"323","Jinhua",55,55,0,29.0444,119.3851,5454000,1.00843417675101e-05
"324","Jiaxing",45,44,0,30.4514,120.4532,4585000,9.81461286804798e-06
"325","Shaoxing",42,41,0,29.5942,120.351,4968000,8.45410628019324e-06
"326","Lishui",25,18,0,28.2801,119.5523,2139000,1.16877045348294e-05
"327","Quzhou",14,14,0,28.5812,118.5136,2133000,6.56352555086732e-06
"328","Huzhou",12,10,0,30.5338,120.0513,3027000,3.96432111000991e-06
"329","Zhoushan",10,10,0,29.5907,122.1228,1168000,8.56164383561644e-06
